"1","2","3","4","5","6","7","8"
1,"1950",7127594,3077473,4050122,55025,35.1269,0.00772,
2,"1951",7189433,3114584,4074848,68652,35.4316,0.00955,
3,"1952",7264607,3158217,4106390,81696,35.8021,0.01125,
4,"1953",7350636,3206988,4143648,90362,36.2261,0.01229,
5,"1954",7448889,3261750,4187140,106144,36.7103,0.01425,
6,"1955",7560676,3323298,4237377,117429,37.2612,0.01553,
7,"1956",7682882,3389872,4293009,126983,37.8635,0.01653,
8,"1957",7811335,3459272,4352063,129924,38.4966,0.01663,
9,"1958",7944089,3530363,4413726,135584,39.1508,0.01707,
10,"1959",8081319,3603404,4477916,138877,39.8271,0.01719,
11,"1960",8207998,3673163,4534835,114480,40.4514,0.01395,
12,"1961",8320433,3737462,4582971,110391,41.0055,0.01327,
13,"1962",8424480,3797484,4626996,97703,41.5183,0.0116,
14,"1963",8517704,3852451,4665253,88744,41.9777,0.01042,
15,"1964",8602838,3902885,4699953,81525,42.3973,0.00948,
16,"1965",8679929,3948768,4731162,72656,42.7772,0.00837,
17,"1966",8752970,3992515,4760456,73426,43.1372,0.00839,
18,"1967",8823254,4034864,4788390,67141,43.4836,0.00761,
19,"1968",8891328,4075757,4815571,69008,43.8191,0.00776,
20,"1969",8954597,4113810,4840786,57530,44.1309,0.00642,
21,"1970",9014896,4148736,4866160,63069,44.4281,0.007,
22,"1971",9079748,4183943,4895804,66633,44.7477,0.00734,
23,"1972",9144634,4219111,4925522,63139,45.0674,0.0069,
24,"1973",9205712,4252606,4953107,59019,45.3685,0.00641,
25,"1974",9265678,4285330,4980349,60913,45.664,0.00657,
26,"1975",9324280,4316758,5007522,56291,45.9528,0.00604,
27,"1976",9380086,4346360,5033725,55320,46.2278,0.0059,
28,"1977",9434944,4374956,5059987,54395,46.4982,0.00577,
29,"1978",9485805,4401003,5084802,47328,46.7488,0.00499,
30,"1979",9537705,4428922,5108783,56472,47.0046,0.00592,
31,"1980",9603170,4463845,5139326,74459,47.3272,0.00775,
32,"1981",9678048,4502507,5175540,75295,47.6963,0.00778,
33,"1982",9748282,4538800,5209482,65175,48.0424,0.00669,
34,"1983",9815555,4573364,5242190,69370,48.3739,0.00707,
35,"1984",9881694,4607370,5274324,62908,48.6999,0.00637,
36,"1985",9944186,4639096,5305090,62077,49.0079,0.00624,
37,"1986",10004288,4670108,5334181,58126,49.3041,0.00581,
38,"1987",10057605,4698435,5359170,48508,49.5668,0.00482,
39,"1988",10107637,4728230,5379406,51556,49.8134,0.0051,
40,"1989",10158785,4759584,5399202,50740,50.0655,0.00499,
41,"1990",10186260,4776793,5409468,4211,50.2009,0.00041,
42,"1991",10193889,4783477,5410412,11046,50.2385,0.00108,
43,"1992",10217562,4799562,5418000,36299,50.3551,0.00355,
44,"1993",10241320,4815626,5425694,11218,50.4722,0.0011,
45,"1994",10230187,4798801,5431386,-33484,50.4174,-0.00327,
46,"1995",10197464,4772021,5425442,-31963,50.2561,-0.00313,
47,"1996",10164028,4759362,5404665,-34909,50.0913,-0.00343,
48,"1997",10122364,4743296,5379068,-48418,49.886,-0.00478,
49,"1998",10080578,4726188,5354391,-35153,49.68,-0.00349,
50,"1999",10039223,4705359,5333864,-47558,49.4762,-0.00474,
51,"2000",9991313,4679267,5312046,-48262,49.2401,-0.00483,
52,"2001",9938065,4651466,5286599,-58234,48.9777,-0.00586,
53,"2002",9873450,4617482,5255968,-70997,48.6593,-0.00719,
54,"2003",9803176,4579908,5223268,-69549,48.3129,-0.00709,
55,"2004",9735091,4543647,5191444,-66622,47.9774,-0.00684,
56,"2005",9667838,4507348,5160491,-67883,47.6459,-0.00702,
57,"2006",9608036,4474670,5133366,-51722,47.3512,-0.00538,
58,"2007",9563134,4450420,5112713,-38083,47.1299,-0.00398,
59,"2008",9529358,4432534,5096824,-29468,46.9635,-0.00309,
60,"2009",9507337,4421224,5086114,-14574,46.8549,-0.00153,
61,"2010",9490752,4412608,5078144,-18597,46.7732,-0.00196,
62,"2011",9472735,4402539,5070196,-17436,46.6844,-0.00184,
63,"2012",9463076,4397152,5065924,-1881,46.6368,-0.0002,
64,"2013",9464453,4398658,5065794,4634,46.6436,0.00049,
65,"2014",9472708,4404484,5068224,11875,46.6843,0.00125,
66,"2015",9487293,4414172,5073122,17296,46.7562,0.00182,
67,"2016",9499064,4422812,5076252,6245,46.8142,0.00066,
68,"2017",9495790,4423272,5072518,-12793,46.798,-0.00135,
69,"2018",9480031,4417818,5062214,-18724,46.7204,-0.00198,
70,"2019",9435420,4398714,5036706,-70499,46.5005,-0.00747,
71,"2020",9350944,4358798,4992146,-98452,46.0842,-0.01053,
72,"2021",9251365,4310858,4940507,-100706,45.5934,-0.01089,
73,"2022",9173237,4274359,4898877,-55550,45.2084,-0.00606,
74,"2023",9115680,4248248,4867432,-59564,44.9247,-0.00653,
75,"2024",9056696,4220426,4836270,-58404,44.6341,-0.00645,
